"    ""AJAX""",174
"    ""PHP""",366
"    ""MySQL""",339
"    ""JavaScript""",108
"    ""jQuery""",93
"    ""不拘""",387
"    ""Linux""",165
"    ""CSS""",258
"    ""Dreamweaver""",120
"    ""HTML""",354
"    ""Java""",195
"    ""Java Script""",243
"    ""XML""",57
"    ""C#.NET""",117
"    ""ASP.NET""",165
"    ""MS SQL""",237
"    ""HTTP""",24
"    ""CVS""",3
"    ""Ghost""",6
"    ""FreeBSD""",9
"    ""Flash""",75
"    ""Android""",39
"    ""C++""",27
"    ""ODBC""",3
"    ""Windows Server 2012""",15
"    ""Visual C++""",48
"    ""C/C++""",84
"    ""WIN CE""",12
"    ""ActionScript""",45
"    ""C""",12
"    ""C#""",48
"    ""C++.NET""",15
"    ""Objective-C""",45
"    ""XML Web services""",21
"    ""IIS""",12
"    ""TCP/IP""",21
"    ""Adobe Photoshop""",48
"    ""Access""",51
"    ""UNIX""",21
"    ""ASP""",87
"    ""DHTML""",90
"    ""XHTML""",9
"    ""Illustrator""",36
"    ""Word""",75
"    ""PowerPoint""",66
"    ""Excel""",78
"    ""Windows 2000""",27
"    ""Windows NT""",24
"    ""Windows 2003""",42
"    ""Windows 7""",69
"    ""Windows 98""",18
"    ""Windows XP""",33
"    ""Windows Vista""",24
"    ""Clipper""",3
"    ""Visual Basic""",30
"    ""VB Script""",24
"    ""JSP""",60
"    ""Delphi""",6
"    ""FrontPage""",33
"    ""Fireworks""",21
"    ""Dbase""",18
"    ""FoxPro""",6
"    ""Toad""",12
"    ""Oracle""",45
"    ""Project""",21
"    ""Visio""",24
"    ""Internet Explorer""",6
"    ""Corel Draw""",9
"    ""PhotoImpact""",3
"    ""PC""",18
"    ""PC週邊""",9
"    ""網路設計""",12
"    ""Director""",3
"    ""Authorware""",3
"    ""J2EE""",3
"    ""J2SE""",6
"    ""JDBC""",3
"    ""Perl""",12
"    ""Unity 3D""",15
"    ""PL/SQL""",18
"    ""Visual Studio .net""",3
"    ""Mac OS""",27
"    ""Ruby On Rails""",3
"    ""Ruby/Qt""",3
"    ""Spring""",21
"    ""Windows Server 2008""",9
"    ""DNS""",6
"    ""Oracle ERP""",6
"    ""Swift""",18
"    ""JSF""",3
"    ""Visual Basic .net""",45
"    ""Mac/Macintosh""",9
"    ""Tomcat""",3
"    ""RDBMS""",6
"    ""Adobe Acrobat""",18
"    ""Python""",6
"    ""iOS""",27
"    ""PostgreSQL""",6
"    ""Outlook""",45
"    ""UML""",12
"    ""正航""",3
"    ""鼎新SmartERP""",3
"    ""鼎新TIPTOP ERP""",3
"    ""SAP ERP Financials""",6
"    ""SAP ERP Operations""",3
"    ""MRP""",3
"    ""鼎新""",3
"    ""SolidWorks""",3
"    ""AutoCAD""",9
"    ""3D Max""",6
"    ""Pro/E""",3
"    ""Microsoft Exchange""",3
"    ""Microsoft SharePoint""",3
"    ""Vmware""",6
"    ""AutoCad 2D""",3
"    ""AutoCad 3D""",3
"    ""ADSL""",3
"    ""WLAN""",3
"    ""PHS""",3
"    ""ISO9000""",3
"    ""ISO14000""",3
"    ""SPC""",3
"    ""DOS""",21
"    ""Novell""",3
"    ""Windows 8""",6
"    ""3ds Max Design""",3
"    ""VBA""",3
"    ""Visual C#""",3
"    ""WinForm""",3
"    ""Visual Studio""",9
"    ""類比晶片""",3
"    ""電子電路""",3
"    ""通訊系統""",3
"    ""類比""",3
"    ""中文打字50~75""",12
"    ""DHCP""",6
"    ""Cisco""",3
"    ""Firewall""",3
"    ""OS X""",6
"    ""Solaris""",3
"    ""AS/400""",3
"    ""DB2""",3
"    ""Informix""",3
"    ""SyBase""",3
"    ""CGI""",12
"    ""Lotus Notes""",3
"    ""OOP""",3
"    ""Version Control""",3
"    ""Web Master/Developer""",3
"    """"",3
"    ""SAP ERP Corporate Services""",3
"    ""Premiere""",3
"    ""英文打字50~75""",6
"    ""PowerBuilder""",3
"    ""POS銷售點管理系統""",9
"    ""WML""",6
"    ""BCB""",3
"    ""英文打字20~50""",3
"    ""中文打字20~50""",3
"    ""MapInfo""",6
"    ""Windows Mobile""",3
"    ""FTP""",3
"    ""MQSeries""",3
"    ""Flex""",3
"    ""SketchUp""",3
"    ""Painter""",3
"    ""MAYA""",3
"    ""UG""",3
"    ""After Effects""",3
"    ""Struts""",6
"    ""MFC""",3
"    ""Ruby""",3
"    ""Rhino""",3
"    ""Apple""",3
"    ""Shell Script""",3
"    ""英文打字75~100""",6
"    ""中文打字75~100""",3
"    ""英文打字100~125""",3
"    ""英文打字125~150""",3
"    ""中文打字100~125""",3
"    ""中文打字125~150""",3
